text,tags
"レストラン","[{""key"": ""amenity"", ""value"": ""restaurant""}]"
"食堂","[{""key"": ""amenity"", ""value"": ""restaurant""}]"
"カフェ","[{""key"": ""amenity"", ""value"": ""cafe""}]"
"喫茶店","[{""key"": ""amenity"", ""value"": ""cafe""}]"
"ファストフード","[{""key"": ""amenity"", ""value"": ""fast_food""}]"
"ラーメン","[{""key"": ""amenity"", ""value"": ""ramen""}]"
"うどん","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""udon""}]"
"そば","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""soba""}]"
"寿司","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""sushi""}]"
"回転寿司","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""sushi""}]"
"焼肉","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""yakiniku""}]"
"焼き鳥","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""yakitori""}]"
"天ぷら","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""tempura""}]"
"とんかつ","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""tonkatsu""}]"
"すき焼き","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""sukiyaki""}]"
"しゃぶしゃぶ","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""shabu-shabu""}]"
"丼物","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""donburi""}]"
"お好み焼き","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""okonomiyaki""}]"
"たこ焼き","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""takoyaki""}]"
"もんじゃ焼き","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""monjayaki""}]"
"沖縄料理","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""okinawan""}]"
"ピザ","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""pizza""}]"
"パスタ","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""pasta""}]"
"カレー","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""curry""}]"
"ハンバーガー","[{""key"": ""amenity"", ""value"": ""fast_food""}, {""key"": ""cuisine"", ""value"": ""burger""}]"
"ステーキ","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""steak_house""}]"
"中華料理","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""chinese""}]"
"韓国料理","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""korean""}]"
"タイ料理","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""thai""}]"
"ベトナム料理","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""vietnamese""}]"
"インド料理","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""indian""}]"
"フランス料理","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""french""}]"
"イタリア料理","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""italian""}]"
"スペイン料理","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""spanish""}]"
"メキシコ料理","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""mexican""}]"
"トルコ料理","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""turkish""}]"
"ギリシャ料理","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""greek""}]"
"ネパール料理","[{""key"": ""amenity"", ""value"": ""restaurant""}, {""key"": ""cuisine"", ""value"": ""nepalese""}]"
"居酒屋","[{""key"": ""amenity"", ""value"": ""bar""}]"
"バー","[{""key"": ""amenity"", ""value"": ""bar""}]"
"パブ","[{""key"": ""amenity"", ""value"": ""pub""}]"
"ビアガーデン","[{""key"": ""amenity"", ""value"": ""biergarten""}]"
"スーパーマーケット","[{""key"": ""shop"", ""value"": ""supermarket""}]"
"コンビニ","[{""key"": ""amenity"", ""value"": ""convenience""}]"
"パン屋","[{""key"": ""shop"", ""value"": ""bakery""}]"
"ケーキ屋","[{""key"": ""shop"", ""value"": ""pastry""}]"
"洋菓子店","[{""key"": ""shop"", ""value"": ""pastry""}]"
"和菓子屋","[{""key"": ""shop"", ""value"": ""confectionery""}]"
"スイーツ","[{""key"": ""shop"", ""value"": ""confectionery""}]"
"酒店","[{""key"": ""shop"", ""value"": ""alcohol""}]"
"ワインショップ","[{""key"": ""shop"", ""value"": ""wine""}]"
"お茶屋","[{""key"": ""shop"", ""value"": ""tea""}]"
"コーヒー豆専門店","[{""key"": ""shop"", ""value"": ""coffee""}]"
"精肉店","[{""key"": ""shop"", ""value"": ""butcher""}]"
"鮮魚店","[{""key"": ""shop"", ""value"": ""seafood""}]"
"八百屋","[{""key"": ""shop"", ""value"": ""greengrocer""}]"
"惣菜屋","[{""key"": ""shop"", ""value"": ""deli""}]"
"弁当屋","[{""key"": ""shop"", ""value"": ""deli""}]"
"チーズ専門店","[{""key"": ""shop"", ""value"": ""cheese""}]"
"デパート","[{""key"": ""shop"", ""value"": ""department_store""}]"
"服屋","[{""key"": ""shop"", ""value"": ""clothes""}]"
"古着屋","[{""key"": ""shop"", ""value"": ""second_hand""}]"
"子供服","[{""key"": ""shop"", ""value"": ""baby_goods""}]"
"靴屋","[{""key"": ""shop"", ""value"": ""shoes""}]"
"鞄屋","[{""key"": ""shop"", ""value"": ""bag""}]"
"宝飾店","[{""key"": ""shop"", ""value"": ""jewelry""}]"
"メガネ屋","[{""key"": ""shop"", ""value"": ""optician""}]"
"コンタクトレンズ","[{""key"": ""shop"", ""value"": ""optician""}]"
"時計屋","[{""key"": ""shop"", ""value"": ""watches""}]"
"帽子屋","[{""key"": ""shop"", ""value"": ""fashion_accessories""}]"
"家具屋","[{""key"": ""shop"", ""value"": ""furniture""}]"
"雑貨屋","[{""key"": ""shop"", ""value"": ""variety_store""}]"
"100円ショップ","[{""key"": ""shop"", ""value"": ""variety_store""}]"
"インテリアショップ","[{""key"": ""shop"", ""value"": ""interior_decoration""}]"
"花屋","[{""key"": ""shop"", ""value"": ""florist""}]"
"園芸店","[{""key"": ""shop"", ""value"": ""garden_centre""}]"
"ホームセンター","[{""key"": ""shop"", ""value"": ""doityourself""}]"
"金物屋","[{""key"": ""shop"", ""value"": ""hardware""}]"
"寝具店","[{""key"": ""shop"", ""value"": ""bed""}]"
"家電量販店","[{""key"": ""shop"", ""value"": ""electronics""}]"
"パソコンショップ","[{""key"": ""shop"", ""value"": ""computer""}]"
"携帯ショップ","[{""key"": ""shop"", ""value"": ""mobile_phone""}]"
"本屋","[{""key"": ""shop"", ""value"": ""books""}]"
"古本屋","[{""key"": ""shop"", ""value"": ""second_hand""}]"
"文房具店","[{""key"": ""shop"", ""value"": ""stationery""}]"
"おもちゃ屋","[{""key"": ""shop"", ""value"": ""toys""}]"
"ゲームショップ","[{""key"": ""shop"", ""value"": ""video_games""}]"
"CDショップ","[{""key"": ""shop"", ""value"": ""music""}]"
"楽器店","[{""key"": ""shop"", ""value"": ""musical_instrument""}]"
"画材屋","[{""key"": ""shop"", ""value"": ""art""}]"
"手芸店","[{""key"": ""shop"", ""value"": ""craft""}]"
"スポーツ用品店","[{""key"": ""shop"", ""value"": ""sports""}]"
"アウトドアショップ","[{""key"": ""shop"", ""value"": ""outdoor""}]"
"自転車屋","[{""key"": ""shop"", ""value"": ""bicycle""}]"
"ペットショップ","[{""key"": ""shop"", ""value"": ""pet""}]"
"釣具店","[{""key"": ""shop"", ""value"": ""fishing""}]"
"ドラッグストア","[{""key"": ""shop"", ""value"": ""chemist""}]"
"薬局","[{""key"": ""amenity"", ""value"": ""pharmacy""}]"
"化粧品店","[{""key"": ""shop"", ""value"": ""cosmetics""}]"
"美容院","[{""key"": ""shop"", ""value"": ""hairdresser""}]"
"理髪店","[{""key"": ""shop"", ""value"": ""hairdresser""}]"
"ネイルサロン","[{""key"": ""shop"", ""value"": ""beauty""}]"
"エステサロン","[{""key"": ""shop"", ""value"": ""beauty""}]"
"マッサージ","[{""key"": ""shop"", ""value"": ""massage""}]"
"リサイクルショップ","[{""key"": ""shop"", ""value"": ""second_hand""}]"
"金券ショップ","[{""key"": ""shop"", ""value"": ""ticket""}]"
"病院","[{""key"": ""amenity"", ""value"": ""hospital""}]"
"クリニック","[{""key"": ""amenity"", ""value"": ""clinic""}]"
"診療所","[{""key"": ""amenity"", ""value"": ""clinic""}]"
"内科","[{""key"": ""amenity"", ""value"": ""clinic""}, {""key"":""healthcare:speciality"", ""value"":""internal""}]"
"外科","[{""key"": ""amenity"", ""value"": ""clinic""}, {""key"":""healthcare:speciality"", ""value"":""general_surgery""}]"
"小児科","[{""key"": ""amenity"", ""value"": ""clinic""}, {""key"":""healthcare:speciality"", ""value"":""paediatrics""}]"
"皮膚科","[{""key"": ""amenity"", ""value"": ""clinic""}, {""key"":""healthcare:speciality"", ""value"":""dermatology""}]"
"眼科","[{""key"": ""amenity"", ""value"": ""clinic""}, {""key"":""healthcare:speciality"", ""value"":""ophthalmology""}]"
"耳鼻科","[{""key"": ""amenity"", ""value"": ""clinic""}, {""key"":""healthcare:speciality"", ""value"":""otolaryngology""}]"
"歯科","[{""key"": ""amenity"", ""value"": ""dentist""}]"
"歯医者","[{""key"": ""amenity"", ""value"": ""dentist""}]"
"動物病院","[{""key"": ""amenity"", ""value"": ""veterinary""}]"
"郵便局","[{""key"": ""amenity"", ""value"": ""post_office""}]"
"ポスト","[{""key"": ""amenity"", ""value"": ""post_box""}]"
"銀行","[{""key"": ""amenity"", ""value"": ""bank""}]"
"信用金庫","[{""key"": ""amenity"", ""value"": ""bank""}]"
"ATM","[{""key"": ""amenity"", ""value"": ""atm""}]"
"図書館","[{""key"": ""amenity"", ""value"": ""library""}]"
"市役所","[{""key"": ""amenity"", ""value"": ""townhall""}]"
"区役所","[{""key"": ""amenity"", ""value"": ""townhall""}]"
"町村役場","[{""key"": ""amenity"", ""value"": ""townhall""}]"
"警察署","[{""key"": ""amenity"", ""value"": ""police""}]"
"交番","[{""key"": ""amenity"", ""value"": ""police""}]"
"消防署","[{""key"": ""amenity"", ""value"": ""fire_station""}]"
"保育園","[{""key"": ""amenity"", ""value"": ""childcare""}]"
"幼稚園","[{""key"": ""amenity"", ""value"": ""kindergarten""}]"
"学校","[{""key"": ""amenity"", ""value"": ""school""}]"
"大学","[{""key"": ""amenity"", ""value"": ""university""}]"
"専門学校","[{""key"": ""amenity"", ""value"": ""college""}]"
"塾","[{""key"": ""amenity"", ""value"": ""school""}]"
"公民館","[{""key"": ""amenity"", ""value"": ""community_centre""}]"
"避難場所","[{""key"": ""amenity"", ""value"": ""shelter""}]"
"駐車場","[{""key"": ""amenity"", ""value"": ""parking""}]"
"コインパーキング","[{""key"": ""amenity"", ""value"": ""parking""}]"
"ガソリンスタンド","[{""key"": ""amenity"", ""value"": ""fuel""}]"
"レンタカー","[{""key"": ""amenity"", ""value"": ""car_rental""}]"
"カーシェアリング","[{""key"": ""amenity"", ""value"": ""car_sharing""}]"
"洗車場","[{""key"": ""amenity"", ""value"": ""car_wash""}]"
"駅","[{""key"": ""railway"", ""value"": ""station""}]"
"バス停","[{""key"": ""highway"", ""value"": ""bus_stop""}]"
"タクシー乗り場","[{""key"": ""amenity"", ""value"": ""taxi""}]"
"ホテル","[{""key"": ""tourism"", ""value"": ""hotel""}]"
"旅館","[{""key"": ""tourism"", ""value"": ""guest_house""}]"
"民宿","[{""key"": ""tourism"", ""value"": ""guest_house""}]"
"ホステル","[{""key"": ""tourism"", ""value"": ""hostel""}]"
"カプセルホテル","[{""key"": ""tourism"", ""value"": ""hotel""}]"
"公園","[{""key"": ""leisure"", ""value"": ""park""}]"
"映画館","[{""key"": ""amenity"", ""value"": ""cinema""}]"
"劇場","[{""key"": ""amenity"", ""value"": ""theatre""}]"
"美術館","[{""key"": ""tourism"", ""value"": ""museum""}]"
"博物館","[{""key"": ""tourism"", ""value"": ""museum""}]"
"水族館","[{""key"": ""tourism"", ""value"": ""aquarium""}]"
"動物園","[{""key"": ""tourism"", ""value"": ""zoo""}]"
"植物園","[{""key"": ""leisure"", ""value"": ""garden""}]"
"遊園地","[{""key"": ""tourism"", ""value"": ""theme_park""}]"
"ボウリング場","[{""key"": ""leisure"", ""value"": ""bowling_alley""}]"
"ゲームセンター","[{""key"": ""leisure"", ""value"": ""amusement_arcade""}]"
"カラオケ","[{""key"": ""amenity"", ""value"": ""karaoke_box""}]"
"インターネットカフェ","[{""key"": ""amenity"", ""value"": ""internet_cafe""}]"
"漫画喫茶","[{""key"": ""amenity"", ""value"": ""internet_cafe""}]"
"フィットネスジム","[{""key"": ""leisure"", ""value"": ""fitness_centre""}]"
"スポーツセンター","[{""key"": ""leisure"", ""value"": ""sports_centre""}]"
"スタジアム","[{""key"": ""leisure"", ""value"": ""stadium""}]"
"プール","[{""key"": ""leisure"", ""value"": ""swimming_pool""}]"
"ゴルフ場","[{""key"": ""leisure"", ""value"": ""golf_course""}]"
"銭湯","[{""key"": ""amenity"", ""value"": ""public_bath""}]"
"温泉","[{""key"": ""amenity"", ""value"": ""public_bath""}]"
"コインランドリー","[{""key"": ""shop"", ""value"": ""laundry""}]"
"クリーニング","[{""key"": ""shop"", ""value"": ""dry_cleaning""}]"
"修理店","[{""key"": ""shop"", ""value"": ""repair""}]"
"靴修理","[{""key"": ""shop"", ""value"": ""shoe_repair""}]"
"写真館","[{""key"": ""shop"", ""value"": ""photo""}]"
"印刷","[{""key"": ""shop"", ""value"": ""copyshop""}]"
"旅行代理店","[{""key"": ""shop"", ""value"": ""travel_agency""}]"
"不動産","[{""key"": ""shop"", ""value"": ""estate_agent""}]"
"アイスクリーム","[{""key"": ""shop"", ""value"": ""ice_cream""}]"
"タピオカドリンク","[{""key"": ""amenity"", ""value"": ""cafe""}, {""key"": ""cuisine"", ""value"": ""bubble_tea""}]"
"ハンバーグ","[{""key"": ""amenity"", ""value"": ""restaurant""}]"
"百貨店","[{""key"": ""shop"", ""value"": ""department_store""}]"